date,hour,temperature,humidity,pressure,weather
2015-01-18,05,9.7,85,99.52,
2015-01-18,06,9.0,91,99.60,
2015-01-18,07,9.2,89,99.73,
2015-01-18,08,9.3,87,99.90,
2015-01-18,09,9.9,76,100.02,
2015-01-18,10,9.6,76,100.31,
2015-01-18,11,10.9,66,100.47,
2015-01-18,12,8.0,87,100.67,
2015-01-18,14,9.1,81,100.81,
2015-01-18,15,9.0,80,100.86,
2015-01-18,16,9.1,78,100.98,
2015-01-18,17,9.3,78,101.06,
2015-01-18,18,8.5,78,101.16,
2015-01-18,19,8.6,79,101.22,
2015-01-18,20,8.5,75,101.34,
2015-01-18,21,7.6,80,101.38,
2015-01-18,22,7.6,79,101.45,
2015-01-18,23,8.0,84,101.56,
2015-01-18,24,7.3,81,101.63,
2015-01-19,01,6.5,88,101.69,
2015-01-19,02,6.7,90,101.66,
2015-01-19,03,6.8,92,101.73,
2015-01-19,04,5.9,90,101.78,
2015-01-19,05,6.1,92,101.82,
2015-01-19,06,6.8,93,101.86,
2015-01-19,07,6.1,92,101.90,
2015-01-19,08,5.3,92,101.95,
2015-01-19,09,5.7,91,102.02,
2015-01-19,10,6.2,91,102.07,
2015-01-19,11,8.3,79,102.14,
2015-01-19,12,9.2,75,102.23,
2015-01-19,13,10.1,71,102.24,
2015-01-19,14,9.5,69,102.22,
2015-01-19,15,9.5,73,102.23,
2015-01-19,16,9.0,68,102.25,
2015-01-19,17,8.2,71,102.29,
2015-01-19,18,7.2,80,102.28,
2015-01-19,19,6.2,85,102.30,
2015-01-19,20,5.4,88,102.30,
2015-01-19,21,5.9,86,102.31,
2015-01-19,22,4.9,88,102.32,
2015-01-19,23,4.2,91,102.32,
2015-01-19,24,4.3,89,102.37,
2015-01-20,01,3.8,91,102.37,
2015-01-20,02,3.7,93,102.36,
2015-01-20,03,4.2,93,102.40,
2015-01-20,04,3.1,94,102.39,
2015-01-20,05,4.6,94,102.39,
2015-01-20,06,3.4,93,102.38,
2015-01-20,07,4.5,93,102.37,
2015-01-20,08,4.6,93,102.37,
2015-01-20,09,4.5,93,102.38,
2015-01-20,10,5.0,92,102.41,
2015-01-20,11,5.9,89,102.41,
2015-01-20,12,6.4,88,102.43,
2015-01-20,13,6.9,85,102.39,
2015-01-20,14,7.8,80,102.32,
2015-01-20,15,8.1,75,102.28,
2015-01-20,16,7.4,76,102.25,
2015-01-20,17,6.9,80,102.24,
2015-01-20,18,6.1,83,102.22,
2015-01-20,19,5.5,86,102.19,
2015-01-20,20,5.0,86,102.14,
2015-01-20,21,4.7,87,102.13,
2015-01-20,22,4.7,88,102.10,
2015-01-20,23,4.6,88,102.10,
2015-01-20,24,4.4,88,102.09,
2015-01-21,01,4.4,86,102.10,
2015-01-21,02,4.1,86,102.06,
2015-01-21,03,3.9,89,102.05,
2015-01-21,04,3.7,89,102.04,
2015-01-21,05,3.7,91,101.99,
2015-01-21,06,3.6,91,101.98,
2015-01-21,07,3.5,91,101.94,
2015-01-21,08,3.4,89,101.90,
2015-01-21,09,3.6,89,101.91,
2015-01-21,10,4.3,86,101.91,
2015-01-21,11,4.9,84,101.93,
2015-01-21,12,5.6,80,101.92,
2015-01-21,13,6.3,78,101.86,
2015-01-21,14,6.1,77,101.79,
2015-01-21,15,6.3,74,101.71,
2015-01-21,16,6.4,75,101.71,
2015-01-21,17,6.2,78,101.70,
2015-01-21,18,6.0,76,101.66,
2015-01-21,19,6.0,74,101.65,
2015-01-21,20,6.1,79,101.66,
2015-01-21,21,5.9,81,101.66,
2015-01-21,22,5.8,84,101.68,
2015-01-21,23,5.6,87,101.67,
2015-01-21,24,5.6,90,101.72,
2015-01-22,01,5.3,91,101.77,
2015-01-22,02,5.3,92,101.74,
2015-01-22,03,5.6,93,101.73,
2015-01-22,04,5.5,93,101.74,
2015-01-22,05,5.5,93,101.76,
2015-01-22,06,5.6,94,101.73,
2015-01-22,07,5.5,93,101.70,
2015-01-22,08,5.7,94,101.68,
2015-01-22,09,5.8,94,101.72,
2015-01-22,10,6.0,94,101.82,
2015-01-22,11,6.3,95,101.87,
2015-01-22,12,6.4,95,101.91,
2015-01-22,13,6.8,95,101.94,
2015-01-22,14,7.6,94,101.92,
2015-01-22,15,7.3,93,101.97,
2015-01-22,16,7.5,91,101.97,
2015-01-22,17,7.5,91,101.96,
2015-01-22,18,7.6,91,101.97,
2015-01-22,19,7.9,92,101.92,
2015-01-22,20,8.2,92,101.94,
